Distance,Physical Error Probability,Logical Error Probability,Error Bar
3,0.01,0.0025,0.001116635571706365
3,0.013877551020408163,0.003,0.0012229063741758812
3,0.017755102040816328,0.007,0.0018642692938521516
3,0.021632653061224492,0.009,0.002111752826445368
3,0.025510204081632654,0.013,0.0025328837320335094
3,0.029387755102040815,0.0115,0.0023840878758971955
3,0.03326530612244898,0.0205,0.00316857617866448
3,0.037142857142857144,0.0185,0.003013117156700018
3,0.041020408163265305,0.026,0.003558370413546066
3,0.04489795918367347,0.0275,0.0036567574434189644
3,0.048775510204081635,0.036,0.004165573189850348
3,0.052653061224489796,0.0425,0.0045107510461119445
3,0.056530612244897964,0.0505,0.00489641450451246
3,0.060408163265306125,0.051,0.004919298730510275
3,0.06428571428571428,0.0595,0.005289600646551685
3,0.06816326530612245,0.0605,0.005331029450303197
3,0.07204081632653062,0.066,0.005551756478809206
3,0.07591836734693877,0.073,0.005816829033072916
3,0.07979591836734694,0.083,0.006168914004912048
3,0.08367346938775509,0.0755,0.005907611615534657
3,0.08755102040816326,0.098,0.006648157639526909
3,0.09142857142857143,0.091,0.006431135203057078
3,0.09530612244897958,0.0995,0.006693270874542581
3,0.09918367346938775,0.1095,0.0069824691191583505
3,0.10306122448979592,0.118,0.007213736895673421
3,0.10693877551020407,0.127,0.007445501997850783
3,0.11081632653061224,0.131,0.00754450130890041
3,0.11469387755102041,0.143,0.007827866886962246
3,0.11857142857142856,0.1555,0.008103078118838545
3,0.12244897959183673,0.1445,0.007861925654698091
3,0.1263265306122449,0.172,0.0084384832760396
3,0.13020408163265307,0.163,0.008259267522002178
3,0.13408163265306122,0.18,0.008590692637965813
3,0.1379591836734694,0.1855,0.008691655480977141
3,0.14183673469387756,0.191,0.008789738335126933
3,0.1457142857142857,0.19,0.008772114910328067
3,0.1495918367346939,0.215,0.009186266924055712
3,0.15346938775510205,0.2165,0.00920944488012171
3,0.1573469387755102,0.226,0.009352112060919715
3,0.16122448979591839,0.2355,0.009487880427155477
3,0.16510204081632654,0.234,0.009466889668734923
3,0.1689795918367347,0.2375,0.009515612171584127
3,0.17285714285714288,0.23,0.009410100955887775
3,0.17673469387755103,0.2725,0.00995599693652022
3,0.18061224489795918,0.244,0.009603749267864087
3,0.18448979591836737,0.2655,0.009874455681200862
3,0.18836734693877552,0.3005,0.010251823008616564
3,0.19224489795918367,0.2785,0.010023416333765649
3,0.19612244897959186,0.2835,0.010077890404246318
3,0.2,0.304,0.010285523807760107
Distance,Physical Error Probability,Logical Error Probability,Error Bar
3,1e-06,0.0,0.0
3,0.0013523378378378379,0.0005,0.0004998749843710925
3,0.002703675675675676,0.0005,0.0004998749843710925
3,0.0040550135135135135,0.0,0.0
3,0.005406351351351352,0.0,0.0
3,0.00675768918918919,0.0005,0.0004998749843710925
3,0.008109027027027026,0.001,0.0007067531393633848
3,0.009460364864864864,0.0005,0.0004998749843710925
3,0.010811702702702703,0.002,0.0009989994994993741
3,0.012163040540540541,0.002,0.0009989994994993741
3,0.01351437837837838,0.004,0.001411382301150188
3,0.014865716216216216,0.003,0.0012229063741758812
3,0.016217054054054054,0.0015,0.0008653756409791069
3,0.017568391891891893,0.0065,0.0017969070649312946
3,0.01891972972972973,0.0065,0.0017969070649312946
3,0.02027106756756757,0.008,0.0019919839356781974
3,0.021622405405405408,0.01,0.0022248595461286987
3,0.022973743243243246,0.008,0.0019919839356781974
3,0.024325081081081085,0.009,0.002111752826445368
3,0.025676418918918923,0.0095,0.002169072382379159
3,0.02702775675675676,0.0155,0.0027622228367747597
3,0.028379094594594596,0.012,0.002434748446965312
3,0.029730432432432435,0.013,0.0025328837320335094
3,0.031081770270270273,0.018,0.0029728773940409987
3,0.03243310810810811,0.024,0.00342227994179319
3,0.03378444594594595,0.0165,0.0028484864401994267
3,0.035135783783783785,0.0145,0.0026729898989708138
3,0.03648712162162163,0.0195,0.0030919047527373806
3,0.03783845945945946,0.018,0.0029728773940409987
3,0.0391897972972973,0.024,0.00342227994179319
3,0.04054113513513514,0.018,0.0029728773940409987
3,0.04189247297297298,0.029,0.003752265982043384
3,0.043243810810810815,0.0325,0.003965081966365891
3,0.04459514864864865,0.0355,0.004137617067830226
3,0.04594648648648649,0.0325,0.003965081966365891
3,0.04729782432432433,0.0355,0.004137617067830226
3,0.04864916216216217,0.0365,0.004193313129257103
3,0.0500005,0.0405,0.004407933189148856
3,0.051351837837837845,0.033,0.003994433626936364
3,0.05270317567567568,0.034,0.0040524066923249445
3,0.05405451351351352,0.0405,0.004407933189148856
3,0.05540585135135136,0.044,0.0045860658521220555
3,0.05675718918918919,0.052,0.004964675215963275
3,0.058108527027027033,0.054,0.005053909377897471
3,0.05945986486486487,0.0505,0.00489641450451246
3,0.06081120270270271,0.0535,0.005031786462082826
3,0.062162540540540545,0.0535,0.005031786462082826
3,0.06351387837837838,0.0565,0.005162739098579358
3,0.06486521621621621,0.0585,0.0052477495176503994
3,0.06621655405405406,0.058,0.0052266624149642565
3,0.0675678918918919,0.058,0.0052266624149642565
3,0.06891922972972973,0.063,0.005432816948876522
3,0.07027056756756757,0.0565,0.005162739098579358
3,0.07162190540540542,0.063,0.005432816948876522
3,0.07297324324324325,0.079,0.006031542091372653
3,0.07432458108108109,0.0735,0.005835141386461857
3,0.07567591891891892,0.076,0.005925537950262406
3,0.07702725675675676,0.0765,0.005943389184631947
3,0.0783785945945946,0.0955,0.006571900410079264
3,0.07972993243243244,0.0775,0.005978869040211535
3,0.08108127027027028,0.088,0.006334666526345329
3,0.08243260810810811,0.076,0.005925537950262406
3,0.08378394594594596,0.095,0.006556485338960197
3,0.0851352837837838,0.091,0.006431135203057078
3,0.08648662162162163,0.086,0.0062691307212403855
3,0.08783795945945946,0.089,0.006367063687446514
3,0.0891892972972973,0.089,0.006367063687446514
3,0.09054063513513515,0.1075,0.0069261731858220234
3,0.09189197297297298,0.1065,0.006897744196474671
3,0.09324331081081082,0.105,0.006854742883580682
3,0.09459464864864865,0.1065,0.006897744196474671
3,0.0959459864864865,0.114,0.0071064759198916595
3,0.09729732432432434,0.11,0.006996427659884721
3,0.09864866216216217,0.129,0.007495298526409739
3,0.1,0.0995,0.006693270874542581
